It's never easy to say goodbye. To the faces. So rarely do we see another one. So close and so long. . I asked the room if I'd said enough. No one really answered. They just said Don't go<comma> don't go. All this leaving is never ending. I kept hoping for one more question. Or for someone to say<comma>. Who do you think you are?. So I could tell them. . With intensity a drop evaporates by law. In conclusion leaving is easy. When you've got some place you need to be. I'm giving up this gig for another season. . With the TV on mute. I'm listening back to the tapes. On the hotel bed. My my my apocalypse. . I realized I had said very little about waves or wheels. Or riding for the feeling. Riding for the feeling. Is the fastest way to reach the shore. On water or land. Riding for the feeling. . What if I had stood there at the end and said again and again. An answer to every question. Riding for the feeling. Would that have been a suitable goodbye?,nostalgic.
I'd like a one-way ticket home<comma> ticket home. Where I can watch television<comma> talk on the telephone. But every town I wander there's a billboard on a throne. Ticket home. I want a ticket home. . Does anybody know my name<comma> or recognize my face. I must have come from somewhere<comma> but I can't recall the place. they dropped me at the matinee<comma> they left without a trace. Ticket home. I want a ticket home. . Elvis Presley is the king<comma> I was at his crowning. My life just flashed before my eyes<comma> I must be drowning. . Seems like only yesterday I climbed aboard the plane. Raping distance in the skies<comma> while diving in champagne. I would be in exile now<comma> but everywhere's the same. Ticket home. I want a ticket home. . Elvis Presley is the king<comma> I was at his crowning. My life just flashed before my eyes<comma> I must be drowning. . Seems like only yesterday I climbed aboard the plane. Raping distance in the sky<comma> while diving in champagne. I would be in exile now<comma> but everywhere's the same. Ticket home. I want a ticket home,nostalgic.
They say an end can be a start. Feels like I've been buried yet I'm still alive. It's like a bad day that never ends. I feel the chaos around me. A thing I don't try to deny. I'd better learn to accept that. There are things in my life I can't control. . They say love ain't nothing but a sore. I don't even know what love is. Too many tears have had to fall. Don't you know I'm so tired of it all. I have known terror dizzy spells. Finding out the secrets words won't tell. Whatever it is it can't be named. There's a part of my world that's fading away. . You know I don't want to be clever. To be brilliant or superior. True like ice<comma> true like fire. Now I know that a breeze can blow me away. Now I know there's much more dignity. In defeat than in the brightest victory. I'm losing my balance on the tight rope. Tell me please<comma> tell me please<comma> tell me please.... . If I ever feel better. Remind me to spend some good time with you. You can give me your number. When it's all over I'll let you know. . Hang on to the good days. I can lean on my friends. They help me going through hard times. But I'm feeding the enemy. I'm in league with the foe. Blame me for what's happening. I can't try<comma> I can't try<comma> I can't try.... . No one knows the hard times I went through. If happiness came I miss the call. The stormy days ain't over. I've tried and lost know I think that I pay the cost. Now I've watched all my castles fall. They were made of dust<comma> after all. Someday all this mess will make me laugh. I can't wait<comma> I can't wait<comma> I can't wait.... . If I ever feel better. Remind me to spend some good time with you. You can give me your number. When it's all over I'll let you know. . If I ever feel better. Remind me to spend some good time with you. You can give me your number. When it's all over I'll let you know. . It's like somebody took my place. I ain't even playing my own game. The rules have changed well I didn't know. There are things in my life I can't control. I feel the chaos around me. A thing I don't try to deny. I'd better learn to accept that. There's a part of my life that will go away. . Dark is the night<comma> cold is the ground. In the circular solitude of my heart. As one who strives a hill to climb. I am sure I'll come through I don't know how. They say an end can be a start. Feels like I've been buried yet I'm still alive. . I'm losing my balance on the tight rope. Tell me please<comma> tell me please<comma> tell me please.... . If I ever feel better. Remind me to spend some good time with you. You can give me your number. When it's all over I'll let you know. . If I ever feel better. Remind me to spend some good time with you. You can give me your number. When it's all over I'll let you know. . If I ever feel better. Remind me to spend some good time with you. You can give me your number. When it's all over I'll let you know,nostalgic.
I broke free on a Saturday morning. I put the pedal to the floor. Headed north on Mills Avenue. And listened to the engine roar. . My broken house behind me and good things ahead. A girl named Cathy wants a little of my time. Six cylinders underneath the hood crashing and kicking. Ahh<comma> listen to the engine whine. . I am going to make it through this year. If it kills me. I am going to make it through this year. If it kills me. . I played video games in a drunken haze. I was 17 years young. Hurt my knuckles punching the machines. The taste of scotch rich on my tongue. . And then Cathy showed up and we hung out. Trading swigs from a bottle<comma> all bitter and clean. Locking eyes<comma> holding hands. Twin high maintenance machines. . I am going to make it through this year. If it kills me. I am going to make it through this year. If it kills me. . I drove home in the California dusk. I could feel the alcohol inside of me hum. Pictured the look on my stepfather's face. Ready for the bad things to come. . I down-shifted as I pulled into the driveway. The motor screaming out<comma> stuck in second gear. The scene ends badly<comma> as you might imagine. In a cavalcade of anger and fear. There will be feasting and dancing in Jerusalem next year. . I am going to make it through this year. If it kills me. I am going to make it through this year. If it kills me,nostalgic.
Just tell me what you've got to say to me<comma>. I've been waiting for so long to hear the truth<comma>. It comes as no surprise at all you see<comma>. So cut the crap and tell me that we're through.. . Now I know your heart<comma> I know your mind<comma>. You don't even know you're being unkind<comma>. So much for all your high brow Marxist ways<comma>. Just use me up and then you walk away.. Boy<comma> you can't play me that way.. . Well I guess what you say is true<comma>. I could never be the right kind of girl for you<comma>. I could never be your woman.. . I could never be your woman<comma>. I could never be your woman<comma>. I could never be your woman.. . When I saw my best friend yesterday<comma>. She said she never liked you from the start<comma>. Well me<comma> I wish that I could claim the same<comma>. But you always knew you held my heart.. . And you're such a charming<comma> handsome man<comma>. Now I think I finally understand<comma>. Is it in your genes<comma> I don't know<comma>. But I'll soon find out<comma> that's for sure<comma>. Why did you play me this way?. . Well I guess what you say is true<comma>. I could never be the right kind of girl for you<comma>. I could never be your woman.. . I could never be your woman<comma>. I could never be your woman<comma>. I could never be your woman.. . Well I guess what they say is true<comma>. I could never spend my life with a man like you.. I could never be your woman.. . I could never be your woman<comma>. I could never be your woman<comma>. I could never be your woman.,nostalgic.
Slow four...one two three four... . . Bless the father bless the son . Cross your heart 'cause you're the one . Collectin' moon-beams in the mornin' . Curvy sticks and wooden poles . Assistin' you in pluggin' holes . Plug them holes till you see straight through to the mind's eye . . Think about it turn around . And go back to the quiet sound . Of Jim and Dan prancin' round the pool . You were the fool<comma> and I feel sorry for you . You were the fool<comma> but there's something you can do . . You can wash your arm in a pool of mud . You can chop a tree prevent a flood . You can speak with a turtle just by flippin' him around . You can build a boat sail the sea . You can buy a moat forge a key . Initiate the sequence create catastrophe . . Think about it turn around . And go back to the quiet sound . Of Jim and Dan prancin' round the pool . You were the fool<comma> and I feel sorry for you . You were the fool<comma> but there's something you can do . . Bless the father bless the son . Cross your heart 'cause you're the one . Collectin' moon-beams in the mornin' . Curvy sticks and wooden poles . Assistin' you in pluggin' holes . Plug them holes till you see straight through to the mind's eye . . Think about it turn around . And go back to the quiet sound . Of Jim and Dan prancin' round the pool . You were the fool<comma> and I feel sorry for you . You were the fool<comma> but there's something you can do . You were the fool,nostalgic.
<b>Gotye:</b>. Now and then I think of when we were together. Like when you said you felt so happy you could die. I told myself that you were right for me. But felt so lonely in your company. But that was love and it's an ache I still remember. . You can get addicted to a certain kind of sadness. Like resignation to the end<comma> always the end. So when we found we could not make sense. Well you said that we would still be friends. But I'll admit that I was glad it was over. . But you didn't have to cut me off. Make out like it never happened and that we were nothing. And I don't even need your love. But you treat me like a stranger and that feels so rough. . No you didn't have to stoop so low. Have your friends collect your records and then change your number. I guess that I don't need that though. Now you're just somebody that I used to know. . Now you're just somebody that I used to know. Now you're just somebody that I used to know. . <b>Kimbra:</b>. Now and then I think of all the times you screwed me over. But had me believing it was always something that I'd done. But I don't wanna live that way. Reading into every word you say. You said that you could let it go. And I wouldn't catch you hung up on somebody that you used to know. . <b>Gotye:</b>. But you didn't have to cut me off. Make out like it never happened and that we were nothing. And I don't even need your love. But you treat me like a stranger and that feels so rough. . And you didn't have to stoop so low. Have your friends collect your records and then change your number. I guess that I don't need that though. Now you're just somebody that I used to know. . Somebody. I used to know. Somebody. Now you're just somebody that I used to know. . Somebody. I used to know. Somebody. Now you're just somebody that I used to know. . I used to know. That I used to know. I used to know. Somebody,nostalgic.
I fell into the ocean. When you became my wife. I risked it all against the sea. To have a better life. . Marie you are the wild blue sky. And men do fooli[...]. . <i>Unfortunately<comma> we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then<comma> how about a <a href="/Special:Random" title="Special:Random">random page</a>?</i><p>[<span style="font-size:80%; line-height:100%; color:black;"><a href="/LyricWiki:Job_Exchange" title="LyricWiki:Job Exchange">I want to edit metadata</a></span>]. </p>,nostalgic.
Mister<comma>. Your eyes are full of hesitation<comma>. Sure makes me wonder<comma>. If you know what your looking for.. . Uumm<comma> Baby I wan't to keep my reputation<comma>. I'm a sensation<comma>. You try me once you'll beg for more.. . oooohh! Yes sir<comma> I can boogie<comma>. But I need a certain song<comma>. I can boogie<comma> boogie woogie all night long.. Ooooh!. yes sir<comma> I can boogie. If you stay<comma> you can't go wrong<comma>. I can boogie<comma> boogie woogie all night long.... . No sir<comma>. I don't feel very much like talking<comma>. No neither walking.. You wanna know if I can dance<comma>. . Yes sir<comma> already told you in the first verse and in the chorus<comma>. But I will give you one more chance..... . Ooohh! Yes sir<comma> I can boogie<comma>. But I need a certain song<comma>. I can boogie<comma> boogie woogie all night long.. Yes sir<comma> I can boogie if you stay you can't go wrong<comma>. I can boogie<comma> boogie woogie all night long..... . Yes sir I can boogie. but I need a certain song. I can boogie<comma> boogie woogie all night long...,nostalgic.
Chico Fernandez . Livin' on a gun. Dreams of Santa Anna. Fighting in the sun. Drums so loud from outside. Makes it hard to dream. A rain is fallin' hard and fast. Makes it all seem real . Mornin' come mornin. A Chico's gotta have his share. Mornin'<comma> sad mornin'. Said he must be there. . Mornin'<comma> sad mornin'. What a laugh<comma> and I cried . And I cry<comma> cry<comma> cry<comma> cry<comma> cried. . Mornin'<comma> sad mornin'. . Mexican . . Siñorita pining . Chico come on home. Santa Anna's losing. You'll be first to go. Sam Houston's laughing. Davy Crockett too. When Anna takes the Alamo. The first to go is you. Mornin'<comma> come mornin'. A Chico's gotta have his share. Mornin'<comma> sad mornin'. Heaven will be there. Mornin'<comma> sad mornin'. What a laugh and out loud. Ha ha ha ha ha,nostalgic.
Some folks are born<comma> made to wave the flag. Ooh<comma> they're red<comma> white and blue. And when the band plays<comma> "Hail To The Chief". Ooh<comma> they point the cannon at you<comma> Lord. . It ain't me<comma> it ain't me. I ain't no senator's son<comma> son. It ain't me<comma> it ain't me. I ain't no fortunate one<comma> no. . Some folks are born<comma> silver spoon in hand. Lord<comma> don't they help themselves? Yoh. But when the tax man comes to the door. Lord<comma> the house look a like a rummage sale<comma> yeah. . It ain't me<comma> it ain't me. I ain't no millionaire's son<comma> no<comma> no. It ain't me<comma> it ain't me. I ain't no fortunate one<comma> no. . Yeah<comma> some folks inherit star-spangled eyes. Ooh<comma> they send you down to war<comma> Lord. And when you ask them<comma> "How much should we give?". Ooh<comma> they only answer<comma> "More<comma> more<comma> more" yoh. . It ain't me<comma> it ain't me. I ain't no military son<comma> son. It ain't me<comma> it ain't me. I ain't no fortunate one<comma> one. . It ain't me<comma> it ain't me. I ain't no fortunate one<comma> no<comma> no<comma> no. It ain't me<comma> it ain't me. I ain't no fortunate son<comma> no<comma> no<comma> no,nostalgic.
I'd love to be with you. and the sun will rise<comma> the sun will rise.. I love to be with you. and the sun will rise<comma> the sun will rise.. I'd love to be with you. and the sun will rise<comma> the sun will rise.. . We wait in summertime. We miss you in summertime. We wait in summertime. We miss you in summertime. . I'd love to be with you. and the sun will rise<comma> the sun will rise.. I love to be with you. and the sun will rise<comma> the sun will rise.. I'd love to be with you. and the sun will rise<comma> the sun will rise.. . We wait in summertime. We miss you in summertime. We wait in summertime. We miss you in summertime,nostalgic.
