I'm not giving up on you. I'm giving up on us. 'Cause I'm so damn lonely again. And you're so out of touch. . Is it not obvious. Not clear enough. That this won't do. This waiting on you. . I know you want to be<comma> but you ain't. I know you'd like to be<comma> but you can't. I know you would do<comma> but you don't. So tell me where it leaves me. It leaves me without you. . You say you don't understand. And say we will be fine. Deny we got a problem on our hands. But none the less apologise. But before you do<comma> come and understand why. . I know you want to be<comma> but you ain't. I know you'd like to be<comma> but you can't. I know you would do<comma> but you don't. So tell me where it leaves me. It leaves me without you. Oh without you. . You may be something to so many. And say you want to be everything to me. I've been calling out to you. But you don't hear. . And now my hands are tied. And I cry at the thought of losing you. But I'm lonely with or without you. . I know you want to be<comma> but you ain't. I know you'd like to be<comma> but you can't. I know you would do<comma> but you don't. So tell me where it leaves me. Oh yeah. I know you want to be<comma> but you ain't. I know you'd like to be<comma> but you can't. I know you would do<comma> but you don't. So tell me where it leaves me. Oh yeah tell me where it leaves me. Oh well tell me where it leaves me. It leaves me without you,lonely.
Haven't laughed this hard in a long time. Better stop now before I start crying.. Go off to sleep in the sunshine<comma>. I Don't want to see the day when it's dying.. . She's a sight to see<comma> she's a good to me<comma>. But I'm already somebody's baby.. She's a pretty thing and she knows everything<comma>. But I'm already somebody's baby.. . You don't deserve to be lonely<comma>. But those drugs you got won't make you feel better.. Pretty soon you'll find it's the only. Little part of your life you're keeping together.. . I'd be nice to you<comma> if I could make it through. But you're already somebody's baby.. I could make you smile if you stayed a while. But how long will you stay with me baby?. . Because your candle burns too bright. I almost forgot it was twilight.. Even if I think that you are right. Well<comma> I'm tired of being down<comma> I got no fight.. . You're wonderful<comma> and it's beautiful<comma>. But I'm already somebody's baby.. And if I went with you I'd disappoint you too.. I'm already somebody's baby.. . Already somebody's baby.,lonely.
He never<comma> ever saw it. Coming at all. He never<comma> ever saw it. Coming at all. He never<comma> ever saw it. Coming at all. It's alright<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right. . Hey<comma> open wide<comma> here comes. Original sin. Hey<comma> open wide<comma> here comes. Original sin. (Vrrr). Hey<comma> open wide<comma> here comes. Original sin. It's alright<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right. . No one's got it all. No one's got it all. No one's got it a-a-all. . Power to the people. We don't want it. We want pleasure. And the TVs try to rape us. And I guess that they're succeeding. And we're going to these meetings. But we're not doing any meeting. And we're trying to be faithful<comma> but we're. Cheating<comma> cheating<comma> cheating. . Hey<comma> open wide<comma> here comes. Original sin. Hey<comma> open wide<comma> here comes. Original sin. (Vrrr). Hey<comma> open wide<comma> here comes. Original sin. It's alright<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right. . No one's got it all. No one's got it all. No one's got it a-a-all. . Power to the people. We don't want it. We want pleasure. And the TVs try to rape us. And I guess that they're succeeding. And we're going to these meetings. But we're not doing any meeting. And we're trying to be faithful<comma> but we're. Cheating<comma> cheating<comma> cheating. . I'm the hero of the story. Don't need to be saved. I'm the hero of the story. Don't need to be saved. I'm the hero of the story. Don't need to be saved. I'm the hero of the story. Don't need to be saved. It's alright<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right<comma> it's al-. -right. . No one's got it all. No one's got it all. No one's got it a-a-all. All. All. All. All. All<comma> all<comma> all<comma> all<comma> all. All<comma> all<comma> all<comma> all<comma> all. All<comma> all<comma> all<comma> all<comma> all. All<comma> all<comma> all<comma> all<comma> all. All<comma> all<comma> all<comma> all<comma> all. All<comma> all<comma> all<comma> all,lonely.
Well<comma> you done done me in<comma> you bet I felt it. I tried to be chill but you're so hot that I melted. I fell right through the cracks. Now I'm trying to get back. Before the cool done run out I'll be giving it my bestest. And nothing's gonna stop me but divine intervention. I reckon it's again my turn to win some or learn some. . But I won't hesitate no more<comma> no more. It cannot wait<comma> I'm yours. . Well<comma> open up your mind and see like me. Open up your plans and damn you're free. Look into your heart and you'll find love love<comma> love<comma> love. Listen to the music of the moment<comma> people dance and sing. We're just one big family. And it's our God-forsaken right to be loved<comma> love<comma> love<comma> loved<comma> loved. . So I won't hesitate no more<comma> no more. It cannot wait I'm sure. There's no need to complicate. Our time is short. This is our fate<comma> I'm yours. . Do you want to<comma> come on. Scootch over closer dear. And I will nibble your ear. . I've been spending way too long checking my tongue in the mirror. And bending over backwards just to try to see it clearer. But my breath fogged up the glass. And so I drew a new face and I laughed. . I guess what I'll be saying is there ain't no better reason. To rid yourself of vanities and just go with the seasons. It's what we aim to do. Our name is our virtue. . But I won't hesitate no more<comma> no more. It cannot wait<comma> I'm yours. . Well open up your mind and see like me. Open up your plans and damn you're free. Look into your heart and you'll find that the sky is yours. So please don't please don't please don't. There's no need to complicate. 'Cause our time is short. This oh this oh this is our fate I'm yours. . Oh I'm yours<comma> oh I'm yours<comma> oh. Baby<comma> do believe I'm yours. You best believe<comma> you best believe I'm yours,lonely.
Jenny<comma> it's alright. Somebody loves you tonight. Tomorrow we'll make a start. Smoke all them cigarettes. . You are the star that sits in the sky. The fire that burns when the battle is high. The feeling that yearns when the yearning is all. In his heart<comma> yeah<comma> in his heart<comma> yeah<comma> in his heart. . I know you wanna get away. I know nothing ever stays the same. Jenny<comma> I've been thinking things over. I know thinking never got me far. . The bottle gets me further. So come stand a little closer now. We'll try breaking the ice again. We'll try breaking the ice again. . You were the first one. You were the first to try. And baby<comma> you stole me. And maybe I needed that. . You are the star that sits in the sky. The fire that burns when the battle is high. The feeling that yearns when the yearning is all. In my heart<comma> yeah<comma> in my heart<comma> yeah<comma> in my heart. . I know you wanna get away. I know nothing ever stays the same. Jenny<comma> I've been thinking things over. You said thinking never got you far. . Bottle gets you further. So come stand a little closer now. We'll try breaking the ice again. We'll try breaking the ice again. . We'll try breaking the ice again. We'll try breaking the ice again. We'll try breaking the ice again. We'll try breaking the ice again. Breaking the ice again,lonely.
Your heart's on the loose. You rolled them sevens with nothing to lose. This ain't no place for the weary kind. . You called all your shots. Shooting eight ball at the corner truck stop. Somehow this don't feel like home anymore. . And this ain't no place for the weary kind. And this ain't no place to lose your mind. This ain't no place to fall behind. Pick up your crazy heart and give it one more try. . Your body aches. Playing your guitar<comma> sweating out the hate. The days and the nights all feel the same. . Whiskey has been a thorn in your side. It doesn't forget. The highway that calls for your heart inside. . And this ain't no place for the weary kind. This ain't no place to lose your mind. This ain't no place to fall behind. Pick up your crazy heart and give it one more try. . Your lover's warm kiss. Is too damn far from your fingertips. You are the man that ruined her world. . Your heart's on the loose. You rolled them sevens with nothing to lose. And this ain't no place for the weary kind,lonely.
When I heard the knock on the door. I couldn't catch my breath. Is it too late to call this off. . We could slip away<comma> wouldn't that be better. Me with nothing to say<comma> and you in your autumn sweater. . I tried my best to hide. In a crowded room<comma> it's nearly possible. I wait for you<comma> oh<comma> most patiently. . So I looked for your eyes. And the waves looked like they'd pour right out of them. I'll try hard<comma> I'll try always. But it's a waste of time. It's a waste of time if I can't smile easily. Like in the beginning. In the beginning...,lonely.
I verified the math. And double-checked the syntax. I tried to heal your body. But it just kept coming back. You never had a chance. I thought I was a poet. I had so much to say. But now I want to see the blood. I want to make them pay. Yeah<comma> I can see the day. I made a place for children. They wanted all the answers. I gave them all my lectures. And now they're perfect dancers. 'Cause I'm a perfect dancer. Sha la la la la. Sha la la la la,lonely.
Love<comma> it’s like a hurricane: it happens in Florida<comma> it gets into everything.. Love<comma> it’s like a monster truck: it fills up whole stadiums<comma> but it crushes smaller trucks. Love<comma> it’s like a marmoset: it may be small and cute<comma> but sometimes it eats its young. Love<comma> it’s like a trailer park: ugly but functional<comma> the rent is cheap enough. Love<comma> it’s like an interstate: it gets you from place to place<comma> but it’s littered with dead raccoons. Love<comma> it’s like a garbage man: it collects waste and filth<comma> it smells like rotting flesh. Love<comma> it’s like a newborn child: seems interesting when it’s young<comma> gets pedestrian after a while. Love<comma> it’s like a hurricane: it happens in Florida<comma> it destroys everything.,lonely.
Though this is all you'll ever get. It would be a strange delite. No eyes no nose no mind. The grey light of Porto stays with you. Oh how can you love a tiny bug impressed. By the night when you cut yourself?. Save me Save me. Your body rotten as the last melon. On the vine. Pull your shirt down. Save me Save me. . Press my thumb onto your tounge. Hand a knife up to me. No mouth no neck no rest. The white poem of self hate stays with you. Even though you know a chance to cut. Is still a chance to cure. Pull your legs apart. Save me save me. Your body doomed as the last apple. On the tree so let me hurt you. . Save me save me. Save me save me. Oh how can you love a tiny bug impressed . By the night. Save me save me. Your body rotten as the last melon . On the vine,lonely.
